start,end,length,strand,frame,chromosome,label
203402,208016,4614,1,2,chrI,known_gene
221048,221660,612,1,2,chrI,known_gene
227741,228953,1212,1,2,chrI,known_gene
217156,217492,336,-1,0,chrI,known_gene
207130,207511,381,-1,0,chrI,novel_orf
204211,204637,426,-1,0,chrI,novel_orf
201466,201787,321,-1,0,chrI,known_gene
191179,191539,360,-1,0,chrI,novel_orf
186511,186853,342,-1,0,chrI,known_gene
172210,175135,2925,-1,0,chrI,known_gene
170395,171703,1308,-1,0,chrI,known_gene
166741,168871,2130,-1,0,chrI,known_gene
128251,129019,768,-1,0,chrI,known_gene
113875,114208,333,-1,0,chrI,known_gene
110845,113359,2514,-1,0,chrI,known_gene
109576,109912,336,-1,0,chrI,known_gene
95629,99697,4068,-1,0,chrI,known_gene
84748,87031,2283,-1,0,chrI,known_gene
77188,77665,477,-1,0,chrI,novel_orf
72325,73300,975,-1,0,chrI,known_gene
57949,58483,534,-1,0,chrI,known_gene
57487,57796,309,-1,0,chrI,known_gene
57028,57385,357,-1,0,chrI,known_gene
54988,56857,1869,-1,0,chrI,known_gene
50818,51124,306,-1,0,chrI,novel_orf
42880,45022,2142,-1,0,chrI,known_gene
38695,39046,351,-1,0,chrI,known_gene
7234,9016,1782,-1,0,chrI,known_gene
224562,224862,300,-1,1,chrI,known_gene
179280,179820,540,-1,1,chrI,known_gene
160596,164187,3591,-1,1,chrI,novel_orf
156753,158619,1866,-1,1,chrI,known_gene
137697,138345,648,-1,1,chrI,known_gene
118563,119541,978,-1,1,chrI,known_gene
115869,116418,549,-1,1,chrI,novel_orf
113613,114615,1002,-1,1,chrI,known_gene
108876,110430,1554,-1,1,chrI,known_gene
100224,101145,921,-1,1,chrI,known_gene
95385,95823,438,-1,1,chrI,known_gene
83334,84474,1140,-1,1,chrI,known_gene
80709,82101,1392,-1,1,chrI,known_gene
79488,79842,354,-1,1,chrI,known_gene
78387,78933,546,-1,1,chrI,novel_orf
75042,76152,1110,-1,1,chrI,known_gene
72213,72696,483,-1,1,chrI,known_gene
68715,69525,810,-1,1,chrI,known_gene
61230,61608,378,-1,1,chrI,known_gene
52800,54789,1989,-1,1,chrI,known_gene
36495,36918,423,-1,1,chrI,known_gene
34104,34476,372,-1,1,chrI,novel_orf
13362,13743,381,-1,1,chrI,known_gene
1806,2169,363,-1,1,chrI,known_gene
228536,228863,327,-1,2,chrI,novel_orf
192932,193430,498,-1,2,chrI,novel_orf
164543,165866,1323,-1,2,chrI,novel_orf
157802,158126,324,-1,2,chrI,known_gene
154064,154724,660,-1,2,chrI,known_gene
152477,152879,402,-1,2,chrI,novel_orf
147593,150695,3102,-1,2,chrI,known_gene
142670,142976,306,-1,2,chrI,novel_orf
139502,141431,1929,-1,2,chrI,known_gene
134183,135665,1482,-1,2,chrI,known_gene
126902,128102,1200,-1,2,chrI,known_gene
124754,125069,315,-1,2,chrI,known_gene
106271,108551,2280,-1,2,chrI,known_gene
101564,105872,4308,-1,2,chrI,known_gene
87854,92270,4416,-1,2,chrI,known_gene
65777,67520,1743,-1,2,chrI,known_gene
58694,61052,2358,-1,2,chrI,known_gene
51854,52595,741,-1,2,chrI,known_gene
38216,38573,357,-1,2,chrI,novel_orf
23999,27968,3969,-1,2,chrI,known_gene
11564,11951,387,-1,2,chrI,known_gene
645,1128,483,1,0,chrII,known_gene
1428,2508,1080,1,0,chrII,novel_orf
29934,31251,1317,1,0,chrII,novel_orf
39144,40527,1383,1,0,chrII,known_gene
40830,43095,2265,1,0,chrII,known_gene
71865,72972,1107,1,0,chrII,known_gene
75258,79767,4509,1,0,chrII,known_gene
87645,87957,312,1,0,chrII,known_gene
107931,109995,2064,1,0,chrII,known_gene
117588,119166,1578,1,0,chrII,known_gene
119334,119709,375,1,0,chrII,known_gene
132423,133749,1326,1,0,chrII,known_gene
141246,141972,726,1,0,chrII,known_gene
171480,171918,438,1,0,chrII,known_gene
172533,174588,2055,1,0,chrII,known_gene
176997,177390,393,1,0,chrII,novel_orf
182400,184125,1725,1,0,chrII,known_gene
192450,193512,1062,1,0,chrII,known_gene
194121,195702,1581,1,0,chrII,known_gene
209652,212175,2523,1,0,chrII,known_gene
224400,224712,312,1,0,chrII,novel_orf
242808,244230,1422,1,0,chrII,known_gene
261669,265140,3471,1,0,chrII,novel_orf
270246,270633,387,1,0,chrII,known_gene
281442,283344,1902,1,0,chrII,known_gene
283737,284271,534,1,0,chrII,known_gene
300165,301254,1089,1,0,chrII,known_gene
301518,301821,303,1,0,chrII,known_gene
309366,309735,369,1,0,chrII,novel_orf
382029,382674,645,1,0,chrII,known_gene
403107,403482,375,1,0,chrII,novel_orf
434460,434880,420,1,0,chrII,novel_orf
436020,436713,693,1,0,chrII,known_gene
436950,441315,4365,1,0,chrII,known_gene
447708,449316,1608,1,0,chrII,known_gene
454821,457665,2844,1,0,chrII,known_gene
458871,460221,1350,1,0,chrII,known_gene
463209,463635,426,1,0,chrII,novel_orf
467247,469620,2373,1,0,chrII,known_gene
489450,489759,309,1,0,chrII,novel_orf
502245,502593,348,1,0,chrII,novel_orf
518370,518724,354,1,0,chrII,novel_orf
522210,522513,303,1,0,chrII,novel_orf
524598,524934,336,1,0,chrII,novel_orf
536574,537465,891,1,0,chrII,known_gene
543666,544077,411,1,0,chrII,novel_orf
546375,547251,876,1,0,chrII,known_gene
556548,558198,1650,1,0,chrII,known_gene
558684,559728,1044,1,0,chrII,known_gene
561633,562764,1131,1,0,chrII,known_gene
565722,567480,1758,1,0,chrII,known_gene
568851,569685,834,1,0,chrII,known_gene
572370,573612,1242,1,0,chrII,known_gene
583719,584658,939,1,0,chrII,known_gene
589740,591459,1719,1,0,chrII,known_gene
600552,602163,1611,1,0,chrII,known_gene
606696,607140,444,1,0,chrII,known_gene
620871,622527,1656,1,0,chrII,known_gene
633621,634836,1215,1,0,chrII,known_gene
635145,636543,1398,1,0,chrII,known_gene
638778,639105,327,1,0,chrII,novel_orf
642582,642900,318,1,0,chrII,known_gene
645549,645978,429,1,0,chrII,known_gene
649305,649674,369,1,0,chrII,known_gene
650367,651192,825,1,0,chrII,known_gene
651414,652998,1584,1,0,chrII,known_gene
653445,655317,1872,1,0,chrII,known_gene
657831,658392,561,1,0,chrII,known_gene
670626,673329,2703,1,0,chrII,known_gene
675312,676227,915,1,0,chrII,known_gene
683427,684669,1242,1,0,chrII,known_gene
691968,694518,2550,1,0,chrII,known_gene
705480,705816,336,1,0,chrII,novel_orf
721389,722313,924,1,0,chrII,known_gene
722610,723054,444,1,0,chrII,known_gene
724455,726540,2085,1,0,chrII,known_gene
730386,732453,2067,1,0,chrII,known_gene
734841,735285,444,1,0,chrII,novel_orf
736038,737736,1698,1,0,chrII,known_gene
760293,760899,606,1,0,chrII,known_gene
761256,762594,1338,1,0,chrII,known_gene
774621,776313,1692,1,0,chrII,known_gene
787005,788430,1425,1,0,chrII,known_gene
789234,791814,2580,1,0,chrII,known_gene
805350,807105,1755,1,0,chrII,known_gene
1414,2425,1011,1,1,chrII,novel_orf
8176,8482,306,1,1,chrII,known_gene
24097,24745,648,1,1,chrII,known_gene
27337,27847,510,1,1,chrII,novel_orf
31207,35248,4041,1,1,chrII,novel_orf
43276,44089,813,1,1,chrII,known_gene
49423,50953,1530,1,1,chrII,known_gene
58927,59374,447,1,1,chrII,novel_orf
70042,70540,498,1,1,chrII,novel_orf
80896,81328,432,1,1,chrII,known_gene
81340,81652,312,1,1,chrII,novel_orf
92329,93394,1065,1,1,chrII,known_gene
105307,105688,381,1,1,chrII,known_gene
110593,110896,303,1,1,chrII,known_gene
111436,112708,1272,1,1,chrII,known_gene
113761,115168,1407,1,1,chrII,known_gene
135997,136366,369,1,1,chrII,known_gene
136687,137461,774,1,1,chrII,known_gene
147208,150286,3078,1,1,chrII,known_gene
160183,161329,1146,1,1,chrII,known_gene
161698,162715,1017,1,1,chrII,known_gene
207193,209224,2031,1,1,chrII,known_gene
221329,222652,1323,1,1,chrII,novel_orf
227635,235117,7482,1,1,chrII,known_gene
236491,236887,396,1,1,chrII,known_gene
242053,242356,303,1,1,chrII,novel_orf
245905,246547,642,1,1,chrII,known_gene
247009,248503,1494,1,1,chrII,known_gene
256330,256741,411,1,1,chrII,known_gene
262939,263419,480,1,1,chrII,novel_orf
284809,285166,357,1,1,chrII,novel_orf
289444,290350,906,1,1,chrII,known_gene
298291,299950,1659,1,1,chrII,known_gene
315574,316510,936,1,1,chrII,known_gene
318265,320275,2010,1,1,chrII,known_gene
337987,338338,351,1,1,chrII,known_gene
347878,349384,1506,1,1,chrII,known_gene
367762,368191,429,1,1,chrII,known_gene
380410,381046,636,1,1,chrII,known_gene
390226,391291,1065,1,1,chrII,known_gene
409168,410629,1461,1,1,chrII,known_gene
425182,425782,600,1,1,chrII,known_gene
441514,443590,2076,1,1,chrII,known_gene
463930,464341,411,1,1,chrII,novel_orf
465565,466048,483,1,1,chrII,known_gene
477670,479047,1377,1,1,chrII,known_gene
485650,485992,342,1,1,chrII,novel_orf
504853,505306,453,1,1,chrII,known_gene
513043,513583,540,1,1,chrII,known_gene
528316,530638,2322,1,1,chrII,known_gene
533761,534817,1056,1,1,chrII,known_gene
539986,541021,1035,1,1,chrII,known_gene
547459,548194,735,1,1,chrII,known_gene
560077,560974,897,1,1,chrII,known_gene
605965,606277,312,1,1,chrII,known_gene
607651,608785,1134,1,1,chrII,known_gene
609118,609439,321,1,1,chrII,novel_orf
612865,613708,843,1,1,chrII,novel_orf
623575,624211,636,1,1,chrII,known_gene
625771,628309,2538,1,1,chrII,known_gene
629167,631942,2775,1,1,chrII,known_gene
633994,634312,318,1,1,chrII,known_gene
634600,634924,324,1,1,chrII,known_gene
685450,685765,315,1,1,chrII,novel_orf
707527,708016,489,1,1,chrII,known_gene
719032,720604,1572,1,1,chrII,known_gene
728884,729724,840,1,1,chrII,known_gene
731542,731854,312,1,1,chrII,known_gene
739840,741022,1182,1,1,chrII,known_gene
741298,741616,318,1,1,chrII,known_gene
749593,751177,1584,1,1,chrII,known_gene
769009,769309,300,1,1,chrII,novel_orf
771238,773632,2394,1,1,chrII,known_gene
782590,783556,966,1,1,chrII,known_gene
798169,798502,333,1,1,chrII,novel_orf
809056,809419,363,1,1,chrII,known_gene
5789,6125,336,1,2,chrII,known_gene
37052,38690,1638,1,2,chrII,known_gene
45977,46370,393,1,2,chrII,known_gene
48824,49358,534,1,2,chrII,known_gene
61559,61943,384,1,2,chrII,novel_orf
63875,66818,2943,1,2,chrII,known_gene
90740,92030,1290,1,2,chrII,known_gene
99962,100307,345,1,2,chrII,known_gene
101885,105221,3336,1,2,chrII,known_gene
125303,126119,816,1,2,chrII,known_gene
126827,127244,417,1,2,chrII,known_gene
127298,127610,312,1,2,chrII,known_gene
131024,131345,321,1,2,chrII,novel_orf
146186,146885,699,1,2,chrII,known_gene
153143,153455,312,1,2,chrII,novel_orf
166133,167264,1131,1,2,chrII,known_gene
184352,185915,1563,1,2,chrII,known_gene
200543,200849,306,1,2,chrII,novel_orf
202055,203261,1206,1,2,chrII,known_gene
203537,205817,2280,1,2,chrII,known_gene
217469,220400,2931,1,2,chrII,known_gene
223130,226598,3468,1,2,chrII,novel_orf
259868,261191,1323,1,2,chrII,novel_orf
279020,280607,1587,1,2,chrII,known_gene
301943,304703,2760,1,2,chrII,known_gene
311897,314789,2892,1,2,chrII,known_gene
316967,317864,897,1,2,chrII,known_gene
325004,325346,342,1,2,chrII,novel_orf
331832,332360,528,1,2,chrII,known_gene
333368,333812,444,1,2,chrII,known_gene
343100,344135,1035,1,2,chrII,known_gene
377003,377312,309,1,2,chrII,novel_orf
383111,385988,2877,1,2,chrII,known_gene
386285,389216,2931,1,2,chrII,known_gene
393758,394742,984,1,2,chrII,known_gene
411053,413981,2928,1,2,chrII,known_gene
415982,416906,924,1,2,chrII,known_gene
423764,424829,1065,1,2,chrII,known_gene
432035,434297,2262,1,2,chrII,known_gene
449666,450656,990,1,2,chrII,known_gene
452657,453224,567,1,2,chrII,known_gene
479417,480323,906,1,2,chrII,known_gene
486506,486866,360,1,2,chrII,known_gene
497162,499277,2115,1,2,chrII,known_gene
504242,504644,402,1,2,chrII,known_gene
505667,512774,7107,1,2,chrII,known_gene
515663,517190,1527,1,2,chrII,known_gene
535259,536096,837,1,2,chrII,known_gene
537875,539705,1830,1,2,chrII,known_gene
545027,545978,951,1,2,chrII,known_gene
549770,550928,1158,1,2,chrII,known_gene
578363,578984,621,1,2,chrII,known_gene
581822,582125,303,1,2,chrII,novel_orf
582407,583355,948,1,2,chrII,known_gene
586070,586445,375,1,2,chrII,known_gene
596114,597065,951,1,2,chrII,known_gene
597362,598934,1572,1,2,chrII,known_gene
602633,603476,843,1,2,chrII,known_gene
610037,610409,372,1,2,chrII,known_gene
618908,620303,1395,1,2,chrII,known_gene
647885,649904,2019,1,2,chrII,known_gene
661517,662081,564,1,2,chrII,novel_orf
670124,670640,516,1,2,chrII,known_gene
686900,690263,3363,1,2,chrII,known_gene
704669,705386,717,1,2,chrII,known_gene
711590,712754,1164,1,2,chrII,known_gene
723269,723635,366,1,2,chrII,known_gene
738581,739544,963,1,2,chrII,known_gene
744851,746111,1260,1,2,chrII,known_gene
768239,768680,441,1,2,chrII,known_gene
773921,774356,435,1,2,chrII,known_gene
776570,777854,1284,1,2,chrII,known_gene
779666,782384,2718,1,2,chrII,known_gene
792848,796499,3651,1,2,chrII,known_gene
800522,801929,1407,1,2,chrII,known_gene
802630,804475,1845,-1,0,chrII,known_gene
748060,749371,1311,-1,0,chrII,known_gene
742159,742576,417,-1,0,chrII,known_gene
729733,730162,429,-1,0,chrII,known_gene
716881,717994,1113,-1,0,chrII,known_gene
702817,703204,387,-1,0,chrII,known_gene
700489,701842,1353,-1,0,chrII,known_gene
698353,699943,1590,-1,0,chrII,known_gene
690382,691693,1311,-1,0,chrII,known_gene
688105,688405,300,-1,0,chrII,novel_orf
668662,670297,1635,-1,0,chrII,known_gene
666925,667243,318,-1,0,chrII,known_gene
665152,666253,1101,-1,0,chrII,known_gene
662734,663091,357,-1,0,chrII,known_gene
616126,618523,2397,-1,0,chrII,known_gene
615202,615856,654,-1,0,chrII,known_gene
612235,613900,1665,-1,0,chrII,known_gene
599122,599959,837,-1,0,chrII,known_gene
586546,589114,2568,-1,0,chrII,known_gene
584806,586162,1356,-1,0,chrII,known_gene
582337,582652,315,-1,0,chrII,known_gene
581725,582172,447,-1,0,chrII,known_gene
576343,578086,1743,-1,0,chrII,known_gene
567874,568426,552,-1,0,chrII,known_gene
541372,541690,318,-1,0,chrII,known_gene
538666,539080,414,-1,0,chrII,novel_orf
499651,501442,1791,-1,0,chrII,known_gene
487198,488380,1182,-1,0,chrII,known_gene
484741,486691,1950,-1,0,chrII,known_gene
481363,483367,2004,-1,0,chrII,known_gene
477856,478834,978,-1,0,chrII,novel_orf
474391,476437,2046,-1,0,chrII,known_gene
469747,473926,4179,-1,0,chrII,known_gene
463951,464392,441,-1,0,chrII,known_gene
457918,458362,444,-1,0,chrII,known_gene
455359,455692,333,-1,0,chrII,novel_orf
454852,455176,324,-1,0,chrII,novel_orf
450880,451969,1089,-1,0,chrII,known_gene
429547,430951,1404,-1,0,chrII,known_gene
412564,412906,342,-1,0,chrII,novel_orf
406627,406960,333,-1,0,chrII,known_gene
393571,394150,579,-1,0,chrII,novel_orf
391804,392293,489,-1,0,chrII,known_gene
376573,378433,1860,-1,0,chrII,known_gene
370036,370699,663,-1,0,chrII,known_gene
364786,365719,933,-1,0,chrII,known_gene
356860,360187,3327,-1,0,chrII,known_gene
353671,356083,2412,-1,0,chrII,known_gene
352192,353293,1101,-1,0,chrII,known_gene
348667,348979,312,-1,0,chrII,novel_orf
338719,339352,633,-1,0,chrII,known_gene
335578,335908,330,-1,0,chrII,known_gene
324340,326059,1719,-1,0,chrII,known_gene
315592,315967,375,-1,0,chrII,novel_orf
310564,311452,888,-1,0,chrII,known_gene
306268,306955,687,-1,0,chrII,known_gene
296368,297742,1374,-1,0,chrII,known_gene
294424,296002,1578,-1,0,chrII,known_gene
292876,294019,1143,-1,0,chrII,known_gene
290680,291865,1185,-1,0,chrII,known_gene
274426,275527,1101,-1,0,chrII,known_gene
270946,273703,2757,-1,0,chrII,known_gene
270253,270598,345,-1,0,chrII,novel_orf
267709,269503,1794,-1,0,chrII,known_gene
252562,254209,1647,-1,0,chrII,known_gene
235393,235792,399,-1,0,chrII,known_gene
216586,217129,543,-1,0,chrII,known_gene
205126,205468,342,-1,0,chrII,novel_orf
199063,201748,2685,-1,0,chrII,known_gene
185317,185800,483,-1,0,chrII,novel_orf
184783,185092,309,-1,0,chrII,novel_orf
174919,177526,2607,-1,0,chrII,known_gene
160948,161305,357,-1,0,chrII,novel_orf
153847,158389,4542,-1,0,chrII,known_gene
151492,153610,2118,-1,0,chrII,known_gene
142111,142582,471,-1,0,chrII,known_gene
138340,140260,1920,-1,0,chrII,known_gene
127894,132040,4146,-1,0,chrII,known_gene
122752,124759,2007,-1,0,chrII,known_gene
90604,90925,321,-1,0,chrII,known_gene
88522,89125,603,-1,0,chrII,known_gene
80377,80731,354,-1,0,chrII,known_gene
78475,78799,324,-1,0,chrII,novel_orf
73069,74695,1626,-1,0,chrII,known_gene
69712,70138,426,-1,0,chrII,known_gene
67168,69445,2277,-1,0,chrII,known_gene
61201,62602,1401,-1,0,chrII,known_gene
59821,60169,348,-1,0,chrII,known_gene
47362,48628,1266,-1,0,chrII,known_gene
46564,46864,300,-1,0,chrII,known_gene
36988,37303,315,-1,0,chrII,known_gene
22075,23536,1461,-1,0,chrII,known_gene
10846,13879,3033,-1,0,chrII,known_gene
2581,2899,318,-1,0,chrII,known_gene
810339,811479,1140,-1,1,chrII,known_gene
808599,809097,498,-1,1,chrII,known_gene
796797,798522,1725,-1,1,chrII,known_gene
784701,785073,372,-1,1,chrII,known_gene
783672,784572,900,-1,1,chrII,known_gene
782634,782997,363,-1,1,chrII,novel_orf
778011,779463,1452,-1,1,chrII,known_gene
768942,770415,1473,-1,1,chrII,known_gene
762783,764712,1929,-1,1,chrII,known_gene
739935,740388,453,-1,1,chrII,known_gene
737769,738426,657,-1,1,chrII,known_gene
723735,724263,528,-1,1,chrII,known_gene
719979,720288,309,-1,1,chrII,novel_orf
702588,704055,1467,-1,1,chrII,known_gene
695106,697302,2196,-1,1,chrII,known_gene
685437,686592,1155,-1,1,chrII,known_gene
679548,679965,417,-1,1,chrII,known_gene
676356,679221,2865,-1,1,chrII,known_gene
662994,664677,1683,-1,1,chrII,known_gene
655575,657600,2025,-1,1,chrII,known_gene
636702,642210,5508,-1,1,chrII,known_gene
632253,633381,1128,-1,1,chrII,known_gene
627171,627696,525,-1,1,chrII,novel_orf
609081,609753,672,-1,1,chrII,known_gene
603684,604107,423,-1,1,chrII,known_gene
593505,594864,1359,-1,1,chrII,known_gene
591711,592236,525,-1,1,chrII,known_gene
571467,571890,423,-1,1,chrII,known_gene
569841,571200,1359,-1,1,chrII,known_gene
563202,564570,1368,-1,1,chrII,known_gene
553542,554310,768,-1,1,chrII,known_gene
551103,553200,2097,-1,1,chrII,known_gene
548361,549009,648,-1,1,chrII,known_gene
530868,532182,1314,-1,1,chrII,known_gene
495591,496869,1278,-1,1,chrII,known_gene
494352,495339,987,-1,1,chrII,known_gene
493080,494115,1035,-1,1,chrII,known_gene
491268,492822,1554,-1,1,chrII,known_gene
488904,490392,1488,-1,1,chrII,known_gene
483969,484560,591,-1,1,chrII,known_gene
474198,474726,528,-1,1,chrII,known_gene
453792,454530,738,-1,1,chrII,known_gene
443820,444693,873,-1,1,chrII,known_gene
442923,443307,384,-1,1,chrII,known_gene
441627,442056,429,-1,1,chrII,novel_orf
426189,426489,300,-1,1,chrII,known_gene
424989,425766,777,-1,1,chrII,known_gene
398613,400890,2277,-1,1,chrII,known_gene
395382,398277,2895,-1,1,chrII,known_gene
373860,375690,1830,-1,1,chrII,known_gene
372102,372735,633,-1,1,chrII,known_gene
368583,369678,1095,-1,1,chrII,known_gene
366969,368184,1215,-1,1,chrII,known_gene
360651,362514,1863,-1,1,chrII,known_gene
358098,358449,351,-1,1,chrII,known_gene
357297,357645,348,-1,1,chrII,known_gene
344601,347301,2700,-1,1,chrII,known_gene
337182,338199,1017,-1,1,chrII,known_gene
320415,321609,1194,-1,1,chrII,known_gene
304929,305976,1047,-1,1,chrII,known_gene
284427,287925,3498,-1,1,chrII,known_gene
276252,278352,2100,-1,1,chrII,known_gene
266724,267336,612,-1,1,chrII,known_gene
265491,265881,390,-1,1,chrII,known_gene
259146,259566,420,-1,1,chrII,known_gene
255372,255684,312,-1,1,chrII,known_gene
248805,251016,2211,-1,1,chrII,known_gene
244365,245667,1302,-1,1,chrII,known_gene
241707,242568,861,-1,1,chrII,known_gene
231648,231951,303,-1,1,chrII,novel_orf
212631,216366,3735,-1,1,chrII,known_gene
206106,206949,843,-1,1,chrII,known_gene
194940,195438,498,-1,1,chrII,novel_orf
194307,194913,606,-1,1,chrII,novel_orf
186843,191583,4740,-1,1,chrII,known_gene
185997,186306,309,-1,1,chrII,known_gene
181659,182094,435,-1,1,chrII,known_gene
177873,181275,3402,-1,1,chrII,known_gene
167517,167838,321,-1,1,chrII,known_gene
158655,159693,1038,-1,1,chrII,known_gene
143988,145728,1740,-1,1,chrII,known_gene
134142,135516,1374,-1,1,chrII,known_gene
115572,116829,1257,-1,1,chrII,known_gene
112800,113427,627,-1,1,chrII,known_gene
105315,107406,2091,-1,1,chrII,known_gene
90222,90531,309,-1,1,chrII,known_gene
86721,87789,1068,-1,1,chrII,known_gene
84498,86448,1950,-1,1,chrII,known_gene
81042,84261,3219,-1,1,chrII,known_gene
69750,71127,1377,-1,1,chrII,known_gene
51018,59382,8364,-1,1,chrII,known_gene
50349,50775,426,-1,1,chrII,novel_orf
49494,49836,342,-1,1,chrII,novel_orf
43764,44097,333,-1,1,chrII,known_gene
43173,43482,309,-1,1,chrII,known_gene
33126,33441,315,-1,1,chrII,novel_orf
24945,28299,3354,-1,1,chrII,known_gene
24258,24570,312,-1,1,chrII,novel_orf
9960,10551,591,-1,1,chrII,known_gene
279,2658,2379,-1,1,chrII,known_gene
789596,789989,393,-1,2,chrII,novel_orf
764969,767606,2637,-1,2,chrII,known_gene
760214,760616,402,-1,2,chrII,known_gene
757619,760043,2424,-1,2,chrII,known_gene
751355,757106,5751,-1,2,chrII,known_gene
746360,747803,1443,-1,2,chrII,known_gene
742760,744398,1638,-1,2,chrII,known_gene
735719,736040,321,-1,2,chrII,known_gene
734831,735530,699,-1,2,chrII,known_gene
732638,734639,2001,-1,2,chrII,known_gene
727385,728102,717,-1,2,chrII,known_gene
714806,716465,1659,-1,2,chrII,known_gene
713003,714455,1452,-1,2,chrII,known_gene
708149,711539,3390,-1,2,chrII,known_gene
705446,706793,1347,-1,2,chrII,known_gene
698624,698957,333,-1,2,chrII,known_gene
683372,683732,360,-1,2,chrII,known_gene
682178,683090,912,-1,2,chrII,known_gene
673571,675134,1563,-1,2,chrII,known_gene
673154,673565,411,-1,2,chrII,known_gene
666719,668351,1632,-1,2,chrII,known_gene
658706,662249,3543,-1,2,chrII,known_gene
654185,654548,363,-1,2,chrII,novel_orf
652685,652994,309,-1,2,chrII,novel_orf
646157,647132,975,-1,2,chrII,known_gene
610613,611882,1269,-1,2,chrII,known_gene
600557,600890,333,-1,2,chrII,novel_orf
590060,590501,441,-1,2,chrII,novel_orf
579149,581522,2373,-1,2,chrII,known_gene
573914,575996,2082,-1,2,chrII,known_gene
563849,564164,315,-1,2,chrII,known_gene
559130,559439,309,-1,2,chrII,novel_orf
541208,544493,3285,-1,2,chrII,known_gene
533234,533549,315,-1,2,chrII,known_gene
527024,528038,1014,-1,2,chrII,known_gene
517349,526628,9279,-1,2,chrII,known_gene
513761,515336,1575,-1,2,chrII,known_gene
501803,504287,2484,-1,2,chrII,known_gene
480434,480923,489,-1,2,chrII,known_gene
462869,465770,2901,-1,2,chrII,known_gene
461177,461873,696,-1,2,chrII,known_gene
445061,447323,2262,-1,2,chrII,known_gene
434405,435767,1362,-1,2,chrII,known_gene
427697,429101,1404,-1,2,chrII,known_gene
427154,427484,330,-1,2,chrII,known_gene
420200,423041,2841,-1,2,chrII,known_gene
401252,405251,3999,-1,2,chrII,known_gene
396518,396848,330,-1,2,chrII,known_gene
379220,379934,714,-1,2,chrII,known_gene
365975,366323,348,-1,2,chrII,known_gene
339674,340751,1077,-1,2,chrII,known_gene
334385,336818,2433,-1,2,chrII,known_gene
330506,331511,1005,-1,2,chrII,known_gene
328172,330092,1920,-1,2,chrII,known_gene
321875,323945,2070,-1,2,chrII,known_gene
309080,310313,1233,-1,2,chrII,known_gene
294023,294356,333,-1,2,chrII,known_gene
257111,257975,864,-1,2,chrII,known_gene
238940,241283,2343,-1,2,chrII,known_gene
237152,237467,315,-1,2,chrII,known_gene
211016,211469,453,-1,2,chrII,novel_orf
209681,210137,456,-1,2,chrII,novel_orf
203405,203807,402,-1,2,chrII,known_gene
