start,end,length,strand,frame,chromosome
152477,152879,402,-1,2,chrI
147593,150695,3102,-1,2,chrI
142670,142976,306,-1,2,chrI
139502,141431,1929,-1,2,chrI
134183,135665,1482,-1,2,chrI
126902,128102,1200,-1,2,chrI
124754,125069,315,-1,2,chrI
106271,108551,2280,-1,2,chrI
101564,105872,4308,-1,2,chrI
87854,92270,4416,-1,2,chrI
65777,67520,1743,-1,2,chrI
58694,61052,2358,-1,2,chrI
51854,52595,741,-1,2,chrI
38216,38573,357,-1,2,chrI
23999,27968,3969,-1,2,chrI
11564,11951,387,-1,2,chrI
645,1128,483,1,0,chrII
1428,2508,1080,1,0,chrII
29934,31251,1317,1,0,chrII
39144,40527,1383,1,0,chrII
40830,43095,2265,1,0,chrII
71865,72972,1107,1,0,chrII
75258,79767,4509,1,0,chrII
87645,87957,312,1,0,chrII
107931,109995,2064,1,0,chrII
117588,119166,1578,1,0,chrII
119334,119709,375,1,0,chrII
132423,133749,1326,1,0,chrII
141246,141972,726,1,0,chrII
171480,171918,438,1,0,chrII
172533,174588,2055,1,0,chrII
176997,177390,393,1,0,chrII
182400,184125,1725,1,0,chrII
192450,193512,1062,1,0,chrII
194121,195702,1581,1,0,chrII
209652,212175,2523,1,0,chrII
224400,224712,312,1,0,chrII
242808,244230,1422,1,0,chrII
261669,265140,3471,1,0,chrII
270246,270633,387,1,0,chrII
281442,283344,1902,1,0,chrII
283737,284271,534,1,0,chrII
300165,301254,1089,1,0,chrII
301518,301821,303,1,0,chrII
309366,309735,369,1,0,chrII
382029,382674,645,1,0,chrII
403107,403482,375,1,0,chrII
434460,434880,420,1,0,chrII
436020,436713,693,1,0,chrII
436950,441315,4365,1,0,chrII
447708,449316,1608,1,0,chrII
454821,457665,2844,1,0,chrII
458871,460221,1350,1,0,chrII
463209,463635,426,1,0,chrII
467247,469620,2373,1,0,chrII
489450,489759,309,1,0,chrII
502245,502593,348,1,0,chrII
518370,518724,354,1,0,chrII
522210,522513,303,1,0,chrII
524598,524934,336,1,0,chrII
536574,537465,891,1,0,chrII
543666,544077,411,1,0,chrII
546375,547251,876,1,0,chrII
556548,558198,1650,1,0,chrII
558684,559728,1044,1,0,chrII
561633,562764,1131,1,0,chrII
565722,567480,1758,1,0,chrII
568851,569685,834,1,0,chrII
572370,573612,1242,1,0,chrII
583719,584658,939,1,0,chrII
589740,591459,1719,1,0,chrII
600552,602163,1611,1,0,chrII
606696,607140,444,1,0,chrII
620871,622527,1656,1,0,chrII
633621,634836,1215,1,0,chrII
635145,636543,1398,1,0,chrII
638778,639105,327,1,0,chrII
642582,642900,318,1,0,chrII
645549,645978,429,1,0,chrII
649305,649674,369,1,0,chrII
650367,651192,825,1,0,chrII
651414,652998,1584,1,0,chrII
653445,655317,1872,1,0,chrII
657831,658392,561,1,0,chrII
670626,673329,2703,1,0,chrII
675312,676227,915,1,0,chrII
683427,684669,1242,1,0,chrII
691968,694518,2550,1,0,chrII
705480,705816,336,1,0,chrII
721389,722313,924,1,0,chrII
722610,723054,444,1,0,chrII
724455,726540,2085,1,0,chrII
730386,732453,2067,1,0,chrII
734841,735285,444,1,0,chrII
736038,737736,1698,1,0,chrII
760293,760899,606,1,0,chrII
761256,762594,1338,1,0,chrII
774621,776313,1692,1,0,chrII
787005,788430,1425,1,0,chrII
789234,791814,2580,1,0,chrII
805350,807105,1755,1,0,chrII
1414,2425,1011,1,1,chrII
8176,8482,306,1,1,chrII
24097,24745,648,1,1,chrII
27337,27847,510,1,1,chrII
31207,35248,4041,1,1,chrII
43276,44089,813,1,1,chrII
49423,50953,1530,1,1,chrII
58927,59374,447,1,1,chrII
70042,70540,498,1,1,chrII
80896,81328,432,1,1,chrII
81340,81652,312,1,1,chrII
92329,93394,1065,1,1,chrII
105307,105688,381,1,1,chrII
110593,110896,303,1,1,chrII
111436,112708,1272,1,1,chrII
113761,115168,1407,1,1,chrII
135997,136366,369,1,1,chrII
136687,137461,774,1,1,chrII
147208,150286,3078,1,1,chrII
160183,161329,1146,1,1,chrII
161698,162715,1017,1,1,chrII
207193,209224,2031,1,1,chrII
221329,222652,1323,1,1,chrII
227635,235117,7482,1,1,chrII
236491,236887,396,1,1,chrII
242053,242356,303,1,1,chrII
245905,246547,642,1,1,chrII
247009,248503,1494,1,1,chrII
256330,256741,411,1,1,chrII
262939,263419,480,1,1,chrII
284809,285166,357,1,1,chrII
289444,290350,906,1,1,chrII
298291,299950,1659,1,1,chrII
315574,316510,936,1,1,chrII
318265,320275,2010,1,1,chrII
337987,338338,351,1,1,chrII
347878,349384,1506,1,1,chrII
367762,368191,429,1,1,chrII
380410,381046,636,1,1,chrII
390226,391291,1065,1,1,chrII
409168,410629,1461,1,1,chrII
425182,425782,600,1,1,chrII
441514,443590,2076,1,1,chrII
463930,464341,411,1,1,chrII
465565,466048,483,1,1,chrII
477670,479047,1377,1,1,chrII
485650,485992,342,1,1,chrII
504853,505306,453,1,1,chrII
513043,513583,540,1,1,chrII
528316,530638,2322,1,1,chrII
533761,534817,1056,1,1,chrII
539986,541021,1035,1,1,chrII
547459,548194,735,1,1,chrII
560077,560974,897,1,1,chrII
605965,606277,312,1,1,chrII
607651,608785,1134,1,1,chrII
609118,609439,321,1,1,chrII
612865,613708,843,1,1,chrII
623575,624211,636,1,1,chrII
625771,628309,2538,1,1,chrII
629167,631942,2775,1,1,chrII
633994,634312,318,1,1,chrII
634600,634924,324,1,1,chrII
685450,685765,315,1,1,chrII
707527,708016,489,1,1,chrII
719032,720604,1572,1,1,chrII
728884,729724,840,1,1,chrII
731542,731854,312,1,1,chrII
739840,741022,1182,1,1,chrII
741298,741616,318,1,1,chrII
749593,751177,1584,1,1,chrII
769009,769309,300,1,1,chrII
771238,773632,2394,1,1,chrII
782590,783556,966,1,1,chrII
798169,798502,333,1,1,chrII
809056,809419,363,1,1,chrII
5789,6125,336,1,2,chrII
37052,38690,1638,1,2,chrII
45977,46370,393,1,2,chrII
48824,49358,534,1,2,chrII
61559,61943,384,1,2,chrII
63875,66818,2943,1,2,chrII
90740,92030,1290,1,2,chrII
99962,100307,345,1,2,chrII
101885,105221,3336,1,2,chrII
125303,126119,816,1,2,chrII
126827,127244,417,1,2,chrII
127298,127610,312,1,2,chrII
131024,131345,321,1,2,chrII
146186,146885,699,1,2,chrII
153143,153455,312,1,2,chrII
166133,167264,1131,1,2,chrII
184352,185915,1563,1,2,chrII
200543,200849,306,1,2,chrII
202055,203261,1206,1,2,chrII
203537,205817,2280,1,2,chrII
217469,220400,2931,1,2,chrII
223130,226598,3468,1,2,chrII
259868,261191,1323,1,2,chrII
279020,280607,1587,1,2,chrII
301943,304703,2760,1,2,chrII
311897,314789,2892,1,2,chrII
316967,317864,897,1,2,chrII
325004,325346,342,1,2,chrII
331832,332360,528,1,2,chrII
333368,333812,444,1,2,chrII
343100,344135,1035,1,2,chrII
377003,377312,309,1,2,chrII
383111,385988,2877,1,2,chrII
386285,389216,2931,1,2,chrII
393758,394742,984,1,2,chrII
411053,413981,2928,1,2,chrII
415982,416906,924,1,2,chrII
423764,424829,1065,1,2,chrII
432035,434297,2262,1,2,chrII
449666,450656,990,1,2,chrII
452657,453224,567,1,2,chrII
479417,480323,906,1,2,chrII
486506,486866,360,1,2,chrII
497162,499277,2115,1,2,chrII
504242,504644,402,1,2,chrII
505667,512774,7107,1,2,chrII
515663,517190,1527,1,2,chrII
535259,536096,837,1,2,chrII
537875,539705,1830,1,2,chrII
545027,545978,951,1,2,chrII
549770,550928,1158,1,2,chrII
578363,578984,621,1,2,chrII
581822,582125,303,1,2,chrII
582407,583355,948,1,2,chrII
586070,586445,375,1,2,chrII
596114,597065,951,1,2,chrII
597362,598934,1572,1,2,chrII
602633,603476,843,1,2,chrII
610037,610409,372,1,2,chrII
618908,620303,1395,1,2,chrII
647885,649904,2019,1,2,chrII
661517,662081,564,1,2,chrII
670124,670640,516,1,2,chrII
686900,690263,3363,1,2,chrII
704669,705386,717,1,2,chrII
711590,712754,1164,1,2,chrII
723269,723635,366,1,2,chrII
738581,739544,963,1,2,chrII
744851,746111,1260,1,2,chrII
768239,768680,441,1,2,chrII
773921,774356,435,1,2,chrII
776570,777854,1284,1,2,chrII
779666,782384,2718,1,2,chrII
792848,796499,3651,1,2,chrII
800522,801929,1407,1,2,chrII
802630,804475,1845,-1,0,chrII
748060,749371,1311,-1,0,chrII
742159,742576,417,-1,0,chrII
729733,730162,429,-1,0,chrII
716881,717994,1113,-1,0,chrII
702817,703204,387,-1,0,chrII
700489,701842,1353,-1,0,chrII
698353,699943,1590,-1,0,chrII
690382,691693,1311,-1,0,chrII
688105,688405,300,-1,0,chrII
668662,670297,1635,-1,0,chrII
666925,667243,318,-1,0,chrII
665152,666253,1101,-1,0,chrII
662734,663091,357,-1,0,chrII
616126,618523,2397,-1,0,chrII
615202,615856,654,-1,0,chrII
612235,613900,1665,-1,0,chrII
599122,599959,837,-1,0,chrII
586546,589114,2568,-1,0,chrII
584806,586162,1356,-1,0,chrII
582337,582652,315,-1,0,chrII
581725,582172,447,-1,0,chrII
576343,578086,1743,-1,0,chrII
567874,568426,552,-1,0,chrII
541372,541690,318,-1,0,chrII
538666,539080,414,-1,0,chrII
499651,501442,1791,-1,0,chrII
487198,488380,1182,-1,0,chrII
484741,486691,1950,-1,0,chrII
481363,483367,2004,-1,0,chrII
477856,478834,978,-1,0,chrII
474391,476437,2046,-1,0,chrII
469747,473926,4179,-1,0,chrII
463951,464392,441,-1,0,chrII
457918,458362,444,-1,0,chrII
455359,455692,333,-1,0,chrII
454852,455176,324,-1,0,chrII
450880,451969,1089,-1,0,chrII
429547,430951,1404,-1,0,chrII
412564,412906,342,-1,0,chrII
406627,406960,333,-1,0,chrII
393571,394150,579,-1,0,chrII
391804,392293,489,-1,0,chrII
376573,378433,1860,-1,0,chrII
370036,370699,663,-1,0,chrII
364786,365719,933,-1,0,chrII
356860,360187,3327,-1,0,chrII
353671,356083,2412,-1,0,chrII
352192,353293,1101,-1,0,chrII
348667,348979,312,-1,0,chrII
338719,339352,633,-1,0,chrII
335578,335908,330,-1,0,chrII
324340,326059,1719,-1,0,chrII
315592,315967,375,-1,0,chrII
310564,311452,888,-1,0,chrII
306268,306955,687,-1,0,chrII
296368,297742,1374,-1,0,chrII
294424,296002,1578,-1,0,chrII
292876,294019,1143,-1,0,chrII
290680,291865,1185,-1,0,chrII
274426,275527,1101,-1,0,chrII
270946,273703,2757,-1,0,chrII
270253,270598,345,-1,0,chrII
267709,269503,1794,-1,0,chrII
252562,254209,1647,-1,0,chrII
235393,235792,399,-1,0,chrII
216586,217129,543,-1,0,chrII
205126,205468,342,-1,0,chrII
199063,201748,2685,-1,0,chrII
185317,185800,483,-1,0,chrII
184783,185092,309,-1,0,chrII
174919,177526,2607,-1,0,chrII
160948,161305,357,-1,0,chrII
153847,158389,4542,-1,0,chrII
151492,153610,2118,-1,0,chrII
142111,142582,471,-1,0,chrII
138340,140260,1920,-1,0,chrII
127894,132040,4146,-1,0,chrII
122752,124759,2007,-1,0,chrII
90604,90925,321,-1,0,chrII
88522,89125,603,-1,0,chrII
80377,80731,354,-1,0,chrII
78475,78799,324,-1,0,chrII
73069,74695,1626,-1,0,chrII
69712,70138,426,-1,0,chrII
67168,69445,2277,-1,0,chrII
61201,62602,1401,-1,0,chrII
59821,60169,348,-1,0,chrII
47362,48628,1266,-1,0,chrII
46564,46864,300,-1,0,chrII
36988,37303,315,-1,0,chrII
22075,23536,1461,-1,0,chrII
10846,13879,3033,-1,0,chrII
2581,2899,318,-1,0,chrII
810339,811479,1140,-1,1,chrII
808599,809097,498,-1,1,chrII
796797,798522,1725,-1,1,chrII
784701,785073,372,-1,1,chrII
783672,784572,900,-1,1,chrII
782634,782997,363,-1,1,chrII
778011,779463,1452,-1,1,chrII
768942,770415,1473,-1,1,chrII
762783,764712,1929,-1,1,chrII
739935,740388,453,-1,1,chrII
737769,738426,657,-1,1,chrII
723735,724263,528,-1,1,chrII
719979,720288,309,-1,1,chrII
702588,704055,1467,-1,1,chrII
695106,697302,2196,-1,1,chrII
685437,686592,1155,-1,1,chrII
679548,679965,417,-1,1,chrII
676356,679221,2865,-1,1,chrII
662994,664677,1683,-1,1,chrII
655575,657600,2025,-1,1,chrII
636702,642210,5508,-1,1,chrII
632253,633381,1128,-1,1,chrII
627171,627696,525,-1,1,chrII
609081,609753,672,-1,1,chrII
603684,604107,423,-1,1,chrII
593505,594864,1359,-1,1,chrII
591711,592236,525,-1,1,chrII
571467,571890,423,-1,1,chrII
569841,571200,1359,-1,1,chrII
563202,564570,1368,-1,1,chrII
553542,554310,768,-1,1,chrII
551103,553200,2097,-1,1,chrII
548361,549009,648,-1,1,chrII
530868,532182,1314,-1,1,chrII
495591,496869,1278,-1,1,chrII
494352,495339,987,-1,1,chrII
493080,494115,1035,-1,1,chrII
491268,492822,1554,-1,1,chrII
488904,490392,1488,-1,1,chrII
483969,484560,591,-1,1,chrII
474198,474726,528,-1,1,chrII
453792,454530,738,-1,1,chrII
443820,444693,873,-1,1,chrII
442923,443307,384,-1,1,chrII
441627,442056,429,-1,1,chrII
426189,426489,300,-1,1,chrII
424989,425766,777,-1,1,chrII
398613,400890,2277,-1,1,chrII
395382,398277,2895,-1,1,chrII
373860,375690,1830,-1,1,chrII
372102,372735,633,-1,1,chrII
368583,369678,1095,-1,1,chrII
366969,368184,1215,-1,1,chrII
360651,362514,1863,-1,1,chrII
358098,358449,351,-1,1,chrII
357297,357645,348,-1,1,chrII
344601,347301,2700,-1,1,chrII
337182,338199,1017,-1,1,chrII
320415,321609,1194,-1,1,chrII
304929,305976,1047,-1,1,chrII
284427,287925,3498,-1,1,chrII
276252,278352,2100,-1,1,chrII
266724,267336,612,-1,1,chrII
265491,265881,390,-1,1,chrII
259146,259566,420,-1,1,chrII
255372,255684,312,-1,1,chrII
248805,251016,2211,-1,1,chrII
244365,245667,1302,-1,1,chrII
241707,242568,861,-1,1,chrII
231648,231951,303,-1,1,chrII
212631,216366,3735,-1,1,chrII
206106,206949,843,-1,1,chrII
194940,195438,498,-1,1,chrII
194307,194913,606,-1,1,chrII
186843,191583,4740,-1,1,chrII
185997,186306,309,-1,1,chrII
181659,182094,435,-1,1,chrII
177873,181275,3402,-1,1,chrII
167517,167838,321,-1,1,chrII
158655,159693,1038,-1,1,chrII
143988,145728,1740,-1,1,chrII
134142,135516,1374,-1,1,chrII
115572,116829,1257,-1,1,chrII
112800,113427,627,-1,1,chrII
105315,107406,2091,-1,1,chrII
90222,90531,309,-1,1,chrII
86721,87789,1068,-1,1,chrII
84498,86448,1950,-1,1,chrII
81042,84261,3219,-1,1,chrII
69750,71127,1377,-1,1,chrII
51018,59382,8364,-1,1,chrII
50349,50775,426,-1,1,chrII
49494,49836,342,-1,1,chrII
43764,44097,333,-1,1,chrII
43173,43482,309,-1,1,chrII
33126,33441,315,-1,1,chrII
24945,28299,3354,-1,1,chrII
24258,24570,312,-1,1,chrII
9960,10551,591,-1,1,chrII
279,2658,2379,-1,1,chrII
789596,789989,393,-1,2,chrII
764969,767606,2637,-1,2,chrII
760214,760616,402,-1,2,chrII
757619,760043,2424,-1,2,chrII
751355,757106,5751,-1,2,chrII
746360,747803,1443,-1,2,chrII
742760,744398,1638,-1,2,chrII
735719,736040,321,-1,2,chrII
734831,735530,699,-1,2,chrII
732638,734639,2001,-1,2,chrII
727385,728102,717,-1,2,chrII
714806,716465,1659,-1,2,chrII
713003,714455,1452,-1,2,chrII
708149,711539,3390,-1,2,chrII
705446,706793,1347,-1,2,chrII
698624,698957,333,-1,2,chrII
683372,683732,360,-1,2,chrII
682178,683090,912,-1,2,chrII
673571,675134,1563,-1,2,chrII
673154,673565,411,-1,2,chrII
666719,668351,1632,-1,2,chrII
658706,662249,3543,-1,2,chrII
654185,654548,363,-1,2,chrII
652685,652994,309,-1,2,chrII
646157,647132,975,-1,2,chrII
610613,611882,1269,-1,2,chrII
600557,600890,333,-1,2,chrII
590060,590501,441,-1,2,chrII
579149,581522,2373,-1,2,chrII
573914,575996,2082,-1,2,chrII
563849,564164,315,-1,2,chrII
559130,559439,309,-1,2,chrII
541208,544493,3285,-1,2,chrII
533234,533549,315,-1,2,chrII
527024,528038,1014,-1,2,chrII
517349,526628,9279,-1,2,chrII
513761,515336,1575,-1,2,chrII
501803,504287,2484,-1,2,chrII
480434,480923,489,-1,2,chrII
462869,465770,2901,-1,2,chrII
461177,461873,696,-1,2,chrII
445061,447323,2262,-1,2,chrII
434405,435767,1362,-1,2,chrII
427697,429101,1404,-1,2,chrII
427154,427484,330,-1,2,chrII
420200,423041,2841,-1,2,chrII
401252,405251,3999,-1,2,chrII
396518,396848,330,-1,2,chrII
379220,379934,714,-1,2,chrII
365975,366323,348,-1,2,chrII
339674,340751,1077,-1,2,chrII
334385,336818,2433,-1,2,chrII
330506,331511,1005,-1,2,chrII
328172,330092,1920,-1,2,chrII
321875,323945,2070,-1,2,chrII
309080,310313,1233,-1,2,chrII
294023,294356,333,-1,2,chrII
257111,257975,864,-1,2,chrII
238940,241283,2343,-1,2,chrII
237152,237467,315,-1,2,chrII
211016,211469,453,-1,2,chrII
209681,210137,456,-1,2,chrII
203405,203807,402,-1,2,chrII
163040,163997,957,-1,2,chrII
150446,151220,774,-1,2,chrII
119378,121874,2496,-1,2,chrII
100370,101156,786,-1,2,chrII
96668,100115,3447,-1,2,chrII
93638,95882,2244,-1,2,chrII
77855,78278,423,-1,2,chrII
72413,72893,480,-1,2,chrII
44255,44918,663,-1,2,chrII
41921,42284,363,-1,2,chrII
41084,41480,396,-1,2,chrII
18176,21425,3249,-1,2,chrII
14240,17696,3456,-1,2,chrII
4193,5009,816,-1,2,chrII
2906,3779,873,-1,2,chrII
1367,2447,1080,-1,2,chrII
2823,3750,927,1,0,chrIII
9705,11082,1377,1,0,chrIII
13281,13809,528,1,0,chrIII
17289,18561,1272,1,0,chrIII
23526,23925,399,1,0,chrIII
50583,50943,360,1,0,chrIII
52644,54882,2238,1,0,chrIII
59025,60726,1701,1,0,chrIII
70149,71367,1218,1,0,chrIII
71802,73341,1539,1,0,chrIII
76998,77391,393,1,0,chrIII
79161,82275,3114,1,0,chrIII
83619,83997,378,1,0,chrIII
85101,86418,1317,1,0,chrIII
91323,92418,1095,1,0,chrIII
104640,105099,459,1,0,chrIII
109104,110670,1566,1,0,chrIII
111915,112482,567,1,0,chrIII
113079,113541,462,1,0,chrIII
128469,130281,1812,1,0,chrIII
137745,138996,1251,1,0,chrIII
193296,194298,1002,1,0,chrIII
200910,201243,333,1,0,chrIII
204294,204774,480,1,0,chrIII
208851,209406,555,1,0,chrIII
216696,218241,1545,1,0,chrIII
226890,227319,429,1,0,chrIII
237213,238776,1563,1,0,chrIII
244314,244755,441,1,0,chrIII
254370,258654,4284,1,0,chrIII
258882,259269,387,1,0,chrIII
263391,263964,573,1,0,chrIII
266349,266721,372,1,0,chrIII
280116,286443,6327,1,0,chrIII
286761,287937,1176,1,0,chrIII
307800,308175,375,1,0,chrIII
309069,310155,1086,1,0,chrIII
2125,2566,441,1,1,chrIII
13750,14119,369,1,1,chrIII
27928,28936,1008,1,1,chrIII
46639,46963,324,1,1,chrIII
47425,47872,447,1,1,chrIII
61657,62722,1065,1,1,chrIII
71977,72316,339,1,1,chrIII
84466,84787,321,1,1,chrIII
86374,90415,4041,1,1,chrIII
95356,95662,306,1,1,chrIII
96280,101191,4911,1,1,chrIII
108049,108391,342,1,1,chrIII
115684,115999,315,1,1,chrIII
152836,153928,1092,1,1,chrIII
190591,191635,1044,1,1,chrIII
208750,209101,351,1,1,chrIII
213121,213433,312,1,1,chrIII
214993,216445,1452,1,1,chrIII
224398,224734,336,1,1,chrIII
225562,227458,1896,1,1,chrIII
229309,231004,1695,1,1,chrIII
231499,232963,1464,1,1,chrIII
233188,233503,315,1,1,chrIII
234592,234892,300,1,1,chrIII
235462,235837,375,1,1,chrIII
238180,238504,324,1,1,chrIII
252844,254173,1329,1,1,chrIII
262915,263269,354,1,1,chrIII
267433,272263,4830,1,1,chrIII
279238,279598,360,1,1,chrIII
310957,313456,2499,1,1,chrIII
1391,2135,744,1,2,chrIII
7244,7619,375,1,2,chrIII
24767,26906,2139,1,2,chrIII
31448,33974,2526,1,2,chrIII
35864,37616,1752,1,2,chrIII
42164,43556,1392,1,2,chrIII
50837,52340,1503,1,2,chrIII
63440,64481,1041,1,2,chrIII
108020,108791,771,1,2,chrIII
118619,119171,552,1,2,chrIII
136544,136847,303,1,2,chrIII
143633,144506,873,1,2,chrIII
179519,186023,6504,1,2,chrIII
186488,190169,3681,1,2,chrIII
192215,192629,414,1,2,chrIII
200441,200969,528,1,2,chrIII
211928,213761,1833,1,2,chrIII
214070,214739,669,1,2,chrIII
223688,223988,300,1,2,chrIII
228317,228791,474,1,2,chrIII
239054,240011,957,1,2,chrIII
246962,247910,948,1,2,chrIII
251195,251510,315,1,2,chrIII
259577,259961,384,1,2,chrIII
263975,264491,516,1,2,chrIII
265067,266846,1779,1,2,chrIII
274403,276566,2163,1,2,chrIII
313889,314981,1092,1,2,chrIII
302481,303030,549,-1,0,chrIII
300831,301299,468,-1,0,chrIII
297048,298605,1557,-1,0,chrIII
293178,293538,360,-1,0,chrIII
270987,271395,408,-1,0,chrIII
260310,262452,2142,-1,0,chrIII
253638,253947,309,-1,0,chrIII
240804,242352,1548,-1,0,chrIII
240102,240543,441,-1,0,chrIII
233124,236322,3198,-1,0,chrIII
231756,232074,318,-1,0,chrIII
210717,211545,828,-1,0,chrIII
209913,210423,510,-1,0,chrIII
208134,209610,1476,-1,0,chrIII
199545,200178,633,-1,0,chrIII
160743,162222,1479,-1,0,chrIII
156108,157107,999,-1,0,chrIII
154011,154659,648,-1,0,chrIII
141216,142170,954,-1,0,chrIII
122529,123003,474,-1,0,chrIII
120945,122328,1383,-1,0,chrIII
119574,120318,744,-1,0,chrIII
94620,95763,1143,-1,0,chrIII
78948,79296,348,-1,0,chrIII
76017,77919,1902,-1,0,chrIII
74703,75285,582,-1,0,chrIII
73404,73986,582,-1,0,chrIII
68598,69921,1323,-1,0,chrIII
64674,65568,894,-1,0,chrIII
62775,63282,507,-1,0,chrIII
62115,62415,300,-1,0,chrIII
60840,61173,333,-1,0,chrIII
44622,46905,2283,-1,0,chrIII
22428,23379,951,-1,0,chrIII
11502,12285,783,-1,0,chrIII
314351,314738,387,-1,1,chrIII
283391,283703,312,-1,1,chrIII
264005,264467,462,-1,1,chrIII
218375,220067,1692,-1,1,chrIII
206876,207950,1074,-1,1,chrIII
201173,205397,4224,-1,1,chrIII
173825,176438,2613,-1,1,chrIII
170885,172424,1539,-1,1,chrIII
167369,167999,630,-1,1,chrIII
163445,163856,411,-1,1,chrIII
158537,160373,1836,-1,1,chrIII
142559,142874,315,-1,1,chrIII
139184,140933,1749,-1,1,chrIII
138401,139049,648,-1,1,chrIII
132272,133124,852,-1,1,chrIII
110807,111302,495,-1,1,chrIII
106973,107366,393,-1,1,chrIII
105695,106853,1158,-1,1,chrIII
104618,105548,930,-1,1,chrIII
102074,103358,1284,-1,1,chrIII
91985,92297,312,-1,1,chrIII
81569,82085,516,-1,1,chrIII
74720,75083,363,-1,1,chrIII
65933,68333,2400,-1,1,chrIII
50132,50627,495,-1,1,chrIII
39785,40724,939,-1,1,chrIII
37835,38801,966,-1,1,chrIII
34142,35393,1251,-1,1,chrIII
26924,27359,435,-1,1,chrIII
23522,23981,459,-1,1,chrIII
18815,22106,3291,-1,1,chrIII
15797,16880,1083,-1,1,chrIII
304360,305467,1107,-1,2,chrIII
301270,302221,951,-1,2,chrIII
288169,289258,1089,-1,2,chrIII
276763,279907,3144,-1,2,chrIII
